textID,text,information_about
a9d499e222,"“Évfordulónkra rendeltem térképet, amin el lett írva a barátom neve, úgyhogy szeretném, ha küldenétek egy másikat.”",complaint
a9d499e223,"“A kiszállított térkép üvege össze van karcolva, szeretném, ha küldenének helyette másikat.”",complaint
a9d499e224,"“Elképzelhető, hogy a szállítás során a közös kézszobraink megrongálódtak, kicsomagolásnál már az ujjak hiányoztak. Remélem tudnak küldeni másikat”",complaint
a9d499e225,"“Karácsonyra családi kézszobor szettet rendeltem, de páros szettet kaptam. Szeretném, ha küldenének egy családit.”",complaint
a9d499e226,"“Ezek a rózsamacik elég rossz minőségűek, ilyet a feleségemnek nem adnék át, csak remélni tudom, hogy van más terméketek, ami nem ilyen silány, szeretném kicserélni a 2 szívpárnára”",complaint
a9d499e227,"“Megkaptuk a térképet, de nem tetszik. Azt olvastam, hogy van rá lehetőség, hogy a terméket kicserélik. Küldjetek ezért a 7 ezer forintért bármit, ami népszerű nálatok”",complaint
a9d499e228,"“Anyák napjára rendeltem egy rózsaszín rózsamacit, de nem érkezett meg, úgyhogy szeretném a pénz visszakapni.”",complaint
a9d499e229,"“Ezek a kézszobrok ocsmányak. Karácsonyra rendeltük, de ha lehetséges, akkor vigyétek vissza és utaljátok vissza az árát”",complaint
a9d499e230,"“Diszcsomagolással kiszállítottak valamit a feleségemnek, ami első sorban nem egy örökrózsacsokor volt, amit rendeltem, másodszor pedig a csomagolás meg volt nyomódva.”",complaint
a9d499e231,"“Hibás terméket kaptam, mit tehetek?”",complaint
a9d499e232,Mit tegyek a hibásan kapott termékemmel?,complaint
a9d499e236,"“Nem jött meg a rózsamaci, amit rendeltem.”",complaint
a9d499e237,"“Nem egy szál rózsára, hanem egy egész csokor piros rózsára van szükségem.”",complaint
a9d499e238,"“Szállítás közben elszakadt a kék rózsamaci, amit rendeltem. Nem is értem. Tudtok másikat küldeni? A megrendelés számra nem emlékszek.”",complaint
a9d499e241,"“15 db rózsamacit rendeltem és eggyel kevesebbet kaptam, de mindet kifizettem. Szeretném megkapni, elküldenétek nekem?”",complaint
a9d499e242,"“2 db kézszobrot rendeltem a barátom névnapjára, rajta a nevével, de nem az ő neve szerepel rajta. Kifizettem a termékeket és sajnos utána vettem észre. Küldenének helyette másik terméket Mihály Laci névvel?”",complaint
a9d499e342,15 db hímzett törölközőt rendeltem és 1 nem rózsaszín. Kérem cseréljék ki a tévesen küldöttet.,complaint
a9d499e250,"“15 db hímzett törölközőt rendeltem és eggyel kevesebbet kaptam, de mindet kifizettem. Szeretném megkapni, elküldenétek nekem?”",complaint
a9d499e255,"“1db kerti törpét kaptam a 3 db helyett, de ki kellett fizetnem. Kérem vissza a pénzem.”",complaint
a9d499e256,1db kerti törpét kaptam a 3 db helyett és nem jó a mérete sem.,complaint
a9d499e257,"1db kerti törpét kaptam a 3 db helyett, eltört szállításnál, de ki kellett fizetnem. Kérem vissza a pénzem.",complaint
a9d499e258,Elmosódott felirattal kaptam meg a bögréket. Kérem vissza az árukat.,complaint
a9d499e123,Hol lehet elérni titeket?,information
a9d499e124,Van boltotok vagy irodátok?,information
a9d499e125,Régóta működik már a webshop?,information
a9d499e126,Telefonon vagy személyesen is tudok beszélni veletek?,information
a9d499e127,Mit lehet tudni a rosebear-ről ?,information
a9d499e128,Mit kell tudni a rosebear-ről ?,information
a9d499e129,Ha írok nektek e-mailt milyen gyorsan válaszoltok?,information
a9d499e130,Mi az a rosebear?,information
a9d499e131,Mire való ez a webáruház?,information
a9d499e132,Mitől jó a rosebearhungary?,information
a9d499e133,Mire jók ezek a rosebear izék,information
a9d499e134,Mióta van ez a márka?,information
a9d499e135,Kié ez a brand?,information
a9d499e136,Ki alapította a rosebeart?,information
a9d499e137,Miért rendeljek a roszebearhungary-tól?,information
a9d499e138,Tetszenek a termékek de nem tudom szabad-e innen rendelnem győzzenek meg !,information
a9d499e139,Kun Béla vagyok múlt héten rendeltem egy nagy virágboxot.,information
a9d499e140,Kék színben van ilyen?,information
a9d499e141,Mennyi a kicsi rózsamaci kiszállítási ideje?,information
a9d499e142,Azt hallottam hogy létezik nálatok női férfi feliratos ágynemű szett,information
a9d499e144,"“Van olyan, hogy örökrózsa?”",information
a9d499e145,A párom barátnője kapott egy rózsamacit. ,information
a9d499e146,Mikor kaphatom meg az ajándékkosarat?,information
a9d499e148,Nagyon tetszik az arany kézszobor.,information
a9d499e149,Megérkezik egy héten belül a rózsamaci ha ma megrendelem?,information
a9d499e150,A barátom valahol látott kézszobrot.,information
